sd_size	sd_par_size	min_size_dif	sd_patt	sd_par_patt	min_patt_dif	typ1_err	typ2_err	avg_size	avg_size_thr	avg_patt	avg_patt_thr	avg_par_size	avg_par_patt	end_gen
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.014520	0.036780	10.000000	13.448971	10.000000	10.931286	10.000036	12.000460	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.015137	0.034253	10.000000	12.058761	10.000000	10.907623	10.000310	12.000477	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.012380	0.040607	10.000000	11.970468	10.000000	10.946469	10.000012	11.999390	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.014947	0.035177	10.000000	13.791937	10.000000	10.907646	9.999914	11.999990	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.025437	0.024967	10.000000	11.966581	10.000000	10.816948	9.999655	11.999335	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020163	0.029037	10.000000	13.106545	10.000000	10.858262	9.999767	12.000198	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.018003	0.030860	10.000000	12.667882	10.000000	10.880097	10.000483	11.999555	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.017997	0.030927	10.000000	14.531192	10.000000	10.876753	10.000005	11.999461	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.023127	0.025997	10.000000	11.769177	10.000000	10.833602	10.000067	12.000074	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.028020	0.023540	10.000000	12.884928	10.000000	10.801875	10.000629	12.000002	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.017427	0.031243	10.000000	13.484123	10.000000	10.882711	10.000358	12.000820	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.018587	0.031390	10.000000	13.187395	10.000000	10.875469	10.001084	12.000181	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.017363	0.033033	10.000000	15.009563	10.000000	10.885929	9.999859	11.999962	2999
