sd_size	sd_par_size	min_size_dif	typ1_err	typ2_err	avg_size	avg_size_thr	avg_par_size	end_gen
0.416667	0.600000	0.500000	0.102180	0.424030	10.000000	10.387081	10.502411	2999
0.416667	0.600000	0.500000	0.167650	0.349833	10.000000	10.270450	10.502663	2999
0.416667	0.600000	0.500000	0.128780	0.389863	10.000000	10.336213	10.502608	2999
0.416667	0.600000	0.500000	0.157697	0.360613	10.000000	10.288619	10.502743	2999
0.416667	0.600000	0.500000	0.191843	0.328260	10.000000	10.235452	10.502328	2999
0.416667	0.600000	0.500000	0.152023	0.365187	10.000000	10.296111	10.502712	2999
0.416667	0.600000	0.500000	0.199447	0.323180	10.000000	10.225704	10.502615	2999
0.416667	0.600000	0.500000	0.157130	0.359727	10.000000	10.289234	10.502673	2999
0.416667	0.600000	0.500000	0.160503	0.356113	10.000000	10.282125	10.502566	2999
0.416667	0.600000	0.500000	0.150480	0.365737	10.000000	10.299303	10.502508	2999
0.416667	0.600000	0.500000	0.176613	0.342680	10.000000	10.257599	10.502659	2999
0.416667	0.600000	0.500000	0.131590	0.386953	10.000000	10.331525	10.502865	2999
0.416667	0.600000	0.500000	0.140377	0.379637	10.000000	10.316156	10.502763	2999
0.416667	0.600000	0.500000	0.135400	0.383140	10.000000	10.324026	10.502608	2999
0.416667	0.600000	0.500000	0.208130	0.315867	10.000000	10.215055	10.502663	2999
0.416667	0.600000	0.500000	0.104880	0.421507	10.000000	10.382995	10.502431	2999
0.416667	0.600000	0.500000	0.117913	0.403833	10.000000	10.357744	10.502556	2999
0.416667	0.600000	0.500000	0.127357	0.392667	10.000000	10.337597	10.502408	2999
0.416667	0.600000	0.500000	0.142620	0.374707	10.000000	10.310414	10.502179	2999
0.416667	0.600000	0.500000	0.148043	0.370343	10.000000	10.302398	10.502488	2999
0.416667	0.600000	0.500000	0.113343	0.409407	10.000000	10.365431	10.502755	2999
0.416667	0.600000	0.500000	0.212723	0.311583	10.000000	10.208768	10.502380	2999
0.416667	0.600000	0.500000	0.145740	0.372007	10.000000	10.307917	10.502978	2999
0.416667	0.600000	0.500000	0.172327	0.346160	10.000000	10.264482	10.502429	2999
0.416667	0.600000	0.500000	0.152740	0.363807	10.000000	10.295649	10.502934	2999
0.416667	0.600000	0.500000	0.143633	0.373403	10.000000	10.309917	10.503073	2999
0.416667	0.600000	0.500000	0.180630	0.338970	10.000000	10.251987	10.502746	2999
0.416667	0.600000	0.500000	0.197050	0.324393	10.000000	10.228712	10.502453	2999
0.416667	0.600000	0.500000	0.126833	0.392590	10.000000	10.338437	10.502695	2999
0.416667	0.600000	0.500000	0.123660	0.403497	10.000000	10.353022	10.502830	2999
0.416667	0.600000	0.500000	0.128877	0.389973	10.000000	10.334503	10.502364	2999
0.416667	0.600000	0.500000	0.145933	0.372393	10.000000	10.306014	10.502637	2999
0.416667	0.600000	0.500000	0.176310	0.344413	10.000000	10.260364	10.502531	2999
0.416667	0.600000	0.500000	0.144563	0.373420	10.000000	10.308604	10.502604	2999
0.416667	0.600000	0.500000	0.108337	0.415910	10.000000	10.374954	10.502654	2999
0.416667	0.600000	0.500000	0.151917	0.365987	10.000000	10.297210	10.502696	2999
0.416667	0.600000	0.500000	0.195227	0.326130	10.000000	10.231439	10.502520	2999
0.416667	0.600000	0.500000	0.146687	0.371393	10.000000	10.305892	10.502486	2999
0.416667	0.600000	1.000000	0.097353	0.196747	10.000000	10.488764	11.002774	2999
0.416667	0.600000	1.000000	0.113530	0.180610	10.000000	10.454782	11.002535	2999
0.416667	0.600000	1.000000	0.089260	0.206073	10.000000	10.507958	11.002668	2999
0.416667	0.600000	1.000000	0.102067	0.190697	10.000000	10.481031	11.002826	2999
0.416667	0.600000	1.000000	0.100633	0.192450	10.000000	10.481982	11.002605	2999
0.416667	0.600000	1.000000	0.113047	0.181197	10.000000	10.455749	11.002592	2999
0.416667	0.600000	1.000000	0.112097	0.182380	10.000000	10.458854	11.002826	2999
0.416667	0.600000	1.000000	0.085567	0.209387	10.000000	10.517229	11.002288	2999
0.416667	0.600000	1.000000	0.090070	0.203780	10.000000	10.506058	11.002466	2999
0.416667	0.600000	1.000000	0.108527	0.186077	10.000000	10.465177	11.002849	2999
0.416667	0.600000	1.000000	0.102760	0.191010	10.000000	10.476451	11.002656	2999
