sd_patt	sd_par_patt	min_patt_dif	typ1_err	typ2_err	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.416667	0.600000	0.500000	0.164777	0.353403	10.000000	10.276909	10.502607	2999
0.416667	0.600000	0.500000	0.162063	0.356247	10.000000	10.281617	10.502649	2999
0.416667	0.600000	0.500000	0.112843	0.409287	10.000000	10.365331	10.502577	2999
0.416667	0.600000	0.500000	0.130520	0.388537	10.000000	10.332397	10.502810	2999
0.416667	0.600000	0.500000	0.153200	0.364780	10.000000	10.295563	10.502796	2999
0.416667	0.600000	0.500000	0.141903	0.377150	10.000000	10.312485	10.502355	2999
0.416667	0.600000	0.500000	0.137567	0.380727	10.000000	10.321492	10.503020	2999
0.416667	0.600000	0.500000	0.126997	0.391843	10.000000	10.339027	10.502767	2999
0.416667	0.600000	0.500000	0.148733	0.368943	10.000000	10.301465	10.502442	2999
0.416667	0.600000	0.500000	0.165837	0.352870	10.000000	10.275663	10.502855	2999
0.416667	0.600000	0.500000	0.148757	0.370080	10.000000	10.302094	10.502350	2999
0.416667	0.600000	0.500000	0.152797	0.364437	10.000000	10.295315	10.502929	2999
0.416667	0.600000	0.500000	0.128133	0.390437	10.000000	10.335942	10.502360	2999
0.416667	0.600000	0.500000	0.195510	0.325753	10.000000	10.231408	10.502597	2999
0.416667	0.600000	0.500000	0.154220	0.363917	10.000000	10.293187	10.502932	2999
0.416667	0.600000	0.500000	0.117807	0.405650	10.000000	10.356495	10.502637	2999
0.416667	0.600000	0.500000	0.157957	0.359793	10.000000	10.287542	10.502589	2999
0.416667	0.600000	0.500000	0.138947	0.379080	10.000000	10.317856	10.502625	2999
0.416667	0.600000	0.500000	0.120723	0.401063	10.000000	10.350934	10.502771	2999
0.416667	0.600000	0.500000	0.143723	0.375060	10.000000	10.310329	10.502601	2999
0.416667	0.600000	0.500000	0.129990	0.389293	10.000000	10.334354	10.502595	2999
0.416667	0.600000	0.500000	0.164420	0.352393	10.000000	10.276764	10.502456	2999
0.416667	0.600000	0.500000	0.176817	0.341160	10.000000	10.258195	10.502585	2999
0.416667	0.600000	0.500000	0.167837	0.351277	10.000000	10.271497	10.502360	2999
0.416667	0.600000	0.500000	0.170427	0.347157	10.000000	10.267755	10.502725	2999
0.416667	0.600000	0.500000	0.152973	0.364470	10.000000	10.295950	10.502477	2999
0.416667	0.600000	0.500000	0.132917	0.390960	10.000000	10.334837	10.502397	2999
0.416667	0.600000	0.500000	0.143887	0.374333	10.000000	10.309504	10.502836	2999
0.416667	0.600000	0.500000	0.154750	0.363307	10.000000	10.290995	10.502275	2999
0.416667	0.600000	0.500000	0.115060	0.405710	10.000000	10.361156	10.502459	2999
0.416667	0.600000	0.500000	0.156907	0.360677	10.000000	10.288664	10.502758	2999
0.416667	0.600000	0.500000	0.149663	0.368090	10.000000	10.300216	10.502789	2999
0.416667	0.600000	0.500000	0.133017	0.385987	10.000000	10.327379	10.502595	2999
0.416667	0.600000	0.500000	0.185333	0.335317	10.000000	10.247018	10.502702	2999
0.416667	0.600000	0.500000	0.136600	0.382327	10.000000	10.322814	10.502555	2999
0.416667	0.600000	0.500000	0.134867	0.383573	10.000000	10.325948	10.503033	2999
0.416667	0.600000	0.500000	0.192477	0.328713	10.000000	10.236143	10.502915	2999
0.416667	0.600000	0.500000	0.156057	0.361400	10.000000	10.290875	10.502921	2999
0.416667	0.600000	0.500000	0.155977	0.360587	10.000000	10.288941	10.502790	2999
0.416667	0.600000	0.500000	0.108063	0.414843	10.000000	10.374120	10.502155	2999
0.416667	0.600000	0.500000	0.128130	0.391070	10.000000	10.336860	10.502520	2999
0.416667	0.600000	0.500000	0.125137	0.394610	10.000000	10.343204	10.502626	2999
0.416667	0.600000	0.500000	0.143520	0.374867	10.000000	10.310169	10.502360	2999
0.416667	0.600000	0.500000	0.122453	0.401327	10.000000	10.353623	10.502811	2999
0.416667	0.600000	0.500000	0.179780	0.340820	10.000000	10.254329	10.502542	2999
0.416667	0.600000	0.500000	0.181333	0.337743	10.000000	10.251101	10.502447	2999
0.416667	0.600000	0.500000	0.153433	0.363263	10.000000	10.293352	10.502399	2999
0.416667	0.600000	0.500000	0.122540	0.397727	10.000000	10.348209	10.503095	2999
0.416667	0.600000	1.000000	0.134820	0.163710	10.000000	10.413567	11.002611	2999
0.416667	0.600000	1.000000	0.097990	0.196713	10.000000	10.488602	11.003210	2999
0.416667	0.600000	1.000000	0.097250	0.196500	10.000000	10.489553	11.002794	2999
0.416667	0.600000	1.000000	0.098427	0.195500	10.000000	10.488109	11.002611	2999
0.416667	0.600000	1.000000	0.114527	0.179990	10.000000	10.452461	11.002620	2999
0.416667	0.600000	1.000000	0.109643	0.183227	10.000000	10.461484	11.002122	2999
0.416667	0.600000	1.000000	0.089690	0.203833	10.000000	10.506645	11.002510	2999
0.416667	0.600000	1.000000	0.111307	0.182933	10.000000	10.458186	11.002481	2999
0.416667	0.600000	1.000000	0.105280	0.188990	10.000000	10.473167	11.003015	2999
0.416667	0.600000	1.000000	0.110383	0.184117	10.000000	10.460963	11.002682	2999
0.416667	0.600000	1.000000	0.079213	0.219447	10.000000	10.535334	11.002957	2999
0.416667	0.600000	1.000000	0.069423	0.232737	10.000000	10.560987	11.002529	2999
0.416667	0.600000	1.000000	0.083637	0.210937	10.000000	10.522456	11.003055	2999
0.416667	0.600000	1.000000	0.075647	0.222240	10.000000	10.542468	11.002700	2999
0.416667	0.600000	1.000000	0.075430	0.222563	10.000000	10.542526	11.002586	2999
0.416667	0.600000	1.000000	0.121080	0.174953	10.000000	10.440049	11.002892	2999
0.416667	0.600000	1.000000	0.089847	0.204133	10.000000	10.506241	11.002700	2999
0.416667	0.600000	1.000000	0.122757	0.172767	10.000000	10.435150	11.002836	2999
0.416667	0.600000	1.000000	0.101133	0.192200	10.000000	10.481090	11.002754	2999
0.416667	0.600000	1.000000	0.093540	0.200987	10.000000	10.497560	11.002847	2999
0.416667	0.600000	1.000000	0.099750	0.193177	10.000000	10.484128	11.002571	2999
0.416667	0.600000	1.000000	0.102930	0.192100	10.000000	10.477933	11.002568	2999
0.416667	0.600000	1.000000	0.090157	0.204707	10.000000	10.505509	11.002545	2999
0.416667	0.600000	1.000000	0.093107	0.201790	10.000000	10.498806	11.002737	2999
0.416667	0.600000	1.000000	0.114343	0.180990	10.000000	10.454475	11.002670	2999
