mut_par_size	typ1_err	typ2_err	avg_size	avg_size_thr	avg_par_size	end_gen
0.250000	0.111813	0.666187	10.000000	10.191747	9.598692	2999
0.250000	0.013657	0.732147	10.000000	10.793945	9.423243	2999
0.250000	0.160780	0.605417	10.000000	10.113078	9.782650	2999
0.250000	0.103320	0.673367	10.000000	10.214783	9.554948	2999
0.250000	0.095100	0.682663	10.000000	10.232901	9.617926	2999
0.250000	0.074647	0.700333	10.000000	10.300807	9.563391	2999
0.250000	0.081440	0.696117	10.000000	10.276907	9.565730	2999
0.250000	0.148167	0.610400	10.000000	10.140423	9.812036	2999
0.250000	0.090407	0.687180	10.000000	10.244862	9.636170	2999
0.250000	0.185093	0.569213	10.000000	10.086093	9.845892	2999
0.250000	0.125033	0.653953	10.000000	10.163145	9.628483	2999
0.250000	0.144863	0.629570	10.000000	10.127523	9.691581	2999
0.250000	0.156167	0.616257	10.000000	10.110630	9.722605	2999
0.250000	0.090953	0.687830	10.000000	10.242993	9.661855	2999
0.250000	0.133770	0.639640	10.000000	10.149090	9.689764	2999
0.250000	0.081613	0.683877	10.000000	10.290681	9.479186	2999
0.250000	0.058397	0.710273	10.000000	10.370181	9.508371	2999
0.250000	0.111253	0.658370	10.000000	10.200799	9.748094	2999
0.250000	0.113283	0.663117	10.000000	10.189825	9.682551	2999
0.250000	0.105930	0.669633	10.000000	10.213211	9.548023	2999
0.250000	0.116070	0.660727	10.000000	10.184052	9.650683	2999
0.250000	0.047763	0.719887	10.000000	10.425279	9.497115	2999
0.250000	0.140017	0.632493	10.000000	10.137373	9.709444	2999
0.250000	0.142320	0.634427	10.000000	10.131271	9.667599	2999
0.250000	0.085897	0.693097	10.000000	10.260448	9.589344	2999
0.250000	0.106903	0.671523	10.000000	10.204589	9.616409	2999
0.250000	0.096367	0.681327	10.000000	10.231495	9.607910	2999
0.250000	0.003807	0.714370	10.000000	11.476785	9.369729	2999
0.250000	0.092053	0.687017	10.000000	10.239440	9.650657	2999
0.250000	0.113403	0.663320	10.000000	10.190944	9.664490	2999
0.250000	0.139697	0.639167	10.000000	10.133046	9.630683	2999
0.250000	0.135253	0.636540	10.000000	10.150577	9.728492	2999
0.250000	0.109017	0.668887	10.000000	10.199386	9.591395	2999
0.250000	0.096620	0.681720	10.000000	10.229880	9.608918	2999
0.250000	0.148827	0.627263	10.000000	10.119490	9.689455	2999
0.250000	0.141707	0.626127	10.000000	10.141565	9.752197	2999
0.250000	0.046473	0.722647	10.000000	10.434231	9.502341	2999
0.250000	0.144557	0.633820	10.000000	10.123670	9.658933	2999
0.250000	0.123943	0.652333	10.000000	10.167386	9.661639	2999
0.250000	0.083873	0.694583	10.000000	10.266254	9.609795	2999
0.250000	0.102653	0.670943	10.000000	10.220491	9.521374	2999
0.250000	0.126930	0.644287	10.000000	10.168058	9.735349	2999
0.250000	0.087713	0.692010	10.000000	10.250954	9.636387	2999
0.250000	0.109257	0.666813	10.000000	10.198685	9.664752	2999
0.250000	0.120303	0.647270	10.000000	10.184323	9.758489	2999
0.250000	0.106220	0.669800	10.000000	10.205719	9.580175	2999
0.250000	0.136517	0.638810	10.000000	10.144187	9.697071	2999
0.250000	0.121303	0.650953	10.000000	10.180330	9.740431	2999
0.250000	0.127473	0.650147	10.000000	10.157486	9.651652	2999
0.250000	0.096683	0.682023	10.000000	10.230870	9.657039	2999
0.250000	0.018040	0.720600	10.000000	10.700066	9.415841	2999
0.250000	0.141560	0.636057	10.000000	10.132527	9.664403	2999
0.250000	0.086307	0.686187	10.000000	10.267413	9.525461	2999
0.250000	0.181193	0.582667	10.000000	10.081756	9.790087	2999
0.250000	0.154940	0.614757	10.000000	10.116989	9.753287	2999
0.250000	0.127053	0.643640	10.000000	10.166316	9.730855	2999
0.250000	0.011717	0.725570	10.000000	10.799971	9.409210	2999
0.250000	0.085703	0.681757	10.000000	10.275329	9.495879	2999
0.250000	0.110820	0.663767	10.000000	10.195534	9.683061	2999
0.250000	0.087707	0.691087	10.000000	10.252763	9.680421	2999
0.250000	0.135643	0.634580	10.000000	10.149250	9.728562	2999
0.250000	0.097760	0.680580	10.000000	10.227076	9.653134	2999
